,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker
904,1,18,0,2,3114,1,2,1,2,1,4,2,26,3,1,1,3,2,1,2
122,2,6,2,3,2063,1,2,4,4,1,3,3,30,3,1,1,4,2,2,2
946,4,10,2,2,2210,1,3,2,3,1,2,1,25,3,1,1,2,2,1,2
60,4,12,4,0,1163,3,3,4,3,1,4,1,44,3,2,1,3,2,2,2
844,2,24,4,10,11938,1,3,2,3,2,3,3,39,3,2,2,4,1,2,2
372,2,24,4,1,7758,4,5,2,2,1,4,4,29,3,1,1,3,2,1,2
283,2,21,3,0,2353,1,3,1,1,1,4,2,47,3,2,2,3,2,1,2
939,2,36,3,0,8086,2,5,2,3,1,4,3,42,2,2,4,4,2,2,2
608,1,48,2,1,4788,1,4,4,3,1,3,2,26,3,2,1,3,1,1,2
495,4,24,2,3,1311,2,4,4,4,1,3,2,26,3,2,1,3,2,2,2
630,1,15,4,2,1433,1,3,4,2,1,3,2,25,3,1,2,3,2,1,2
596,1,12,2,2,708,1,3,2,3,3,3,2,38,3,2,1,2,1,1,2
713,4,9,4,6,1244,5,5,4,2,1,4,2,41,3,1,2,2,2,1,2
753,2,24,2,1,4113,3,2,3,2,1,4,3,28,3,1,1,3,2,1,2
624,1,24,4,1,6615,1,1,2,3,1,4,4,75,3,3,2,4,2,2,2
312,4,6,4,0,250,4,3,2,2,1,2,1,41,1,2,2,2,2,1,2
8,4,18,4,3,1098,1,1,4,2,1,4,3,65,3,2,2,1,2,1,2
529,4,18,4,3,2238,1,3,2,2,1,1,3,25,3,2,2,3,2,1,2
876,2,30,4,0,5234,1,1,4,4,1,2,3,28,3,2,2,4,2,1,2
101,1,15,2,9,806,1,3,4,2,1,4,2,22,3,2,1,2,2,1,2
615,1,12,2,0,1893,1,3,4,2,3,4,2,29,3,2,1,3,2,2,2
520,4,36,2,2,3349,1,3,4,2,1,2,3,28,3,2,1,4,2,2,2
249,4,21,2,1,5248,5,3,1,3,1,3,3,26,3,2,1,3,2,1,2
278,1,24,2,3,3660,1,3,2,2,1,4,3,28,3,2,1,3,2,1,2
424,4,15,4,3,1829,1,5,4,3,1,4,3,46,3,2,2,3,2,2,2
384,4,42,4,2,4041,3,3,4,3,1,4,1,36,3,2,2,3,2,2,2
395,2,9,2,3,1206,1,5,4,2,1,4,1,25,3,2,1,3,2,1,2
54,4,24,2,1,6313,5,5,3,3,1,4,3,41,3,2,1,4,1,2,2
34,1,15,2,0,1721,1,2,2,3,1,3,1,36,3,2,1,3,2,1,2
271,4,36,3,2,7678,3,4,2,2,1,4,3,40,3,2,2,3,2,2,2
30,3,30,4,3,3017,1,5,4,3,1,4,2,47,3,2,1,3,2,1,2
403,4,24,2,3,3181,1,2,4,2,1,4,2,26,3,2,1,3,2,2,2
757,1,12,0,0,1082,1,3,4,3,1,4,3,48,1,2,2,3,2,1,2
975,1,30,2,5,11998,1,2,1,1,1,1,4,34,1,2,1,2,2,2,2
990,1,18,2,6,750,1,1,4,2,1,1,1,27,3,2,1,1,2,1,2
457,2,18,2,9,1941,4,3,4,3,1,2,2,35,3,2,1,2,2,2,2
362,4,6,4,2,1221,5,3,1,4,1,2,2,27,3,2,2,3,2,1,2
860,4,48,2,9,3914,5,3,4,1,1,2,1,38,1,2,1,3,2,1,2
483,4,12,4,2,5801,5,5,2,3,1,4,2,49,3,1,1,3,2,2,1
580,1,24,1,3,1546,1,4,4,3,3,4,3,24,1,1,1,2,2,1,2
986,1,14,2,0,8978,1,5,1,1,1,4,2,45,3,2,1,4,2,2,1
688,3,18,2,2,3049,1,2,1,2,1,1,2,45,2,2,1,2,2,1,2
864,1,40,4,6,5998,1,3,4,3,1,3,4,27,1,2,1,3,2,2,2
927,1,12,2,8,902,1,4,4,4,1,4,2,21,3,1,1,3,2,1,2
378,2,15,2,5,1514,2,3,4,3,3,2,1,22,3,2,1,3,2,1,2
320,4,10,2,0,1597,3,3,3,3,1,2,4,40,3,1,1,2,1,1,1
942,4,12,2,6,719,1,5,4,3,1,4,3,41,1,2,1,2,1,1,2
351,4,24,2,0,1525,4,4,4,2,1,3,3,34,3,2,1,3,1,2,2
418,4,18,4,3,1169,5,3,4,3,1,3,2,29,3,2,2,3,2,2,2
945,2,15,1,0,6850,2,1,1,3,1,2,2,34,2,2,1,4,1,2,2
795,2,36,0,9,1953,1,5,4,3,1,4,4,61,3,3,1,4,2,2,2
145,4,21,2,1,2476,5,5,4,3,1,4,1,46,3,2,1,4,2,2,2
826,2,48,0,9,3844,2,4,4,3,1,4,4,34,3,3,1,2,1,1,2
492,1,18,0,9,3104,1,4,3,3,1,1,2,31,1,2,1,3,2,2,2
751,1,9,2,0,654,1,3,4,3,1,3,3,28,3,2,1,2,2,1,2
240,4,15,4,3,1316,3,3,2,4,1,2,2,47,3,2,2,2,2,1,2
648,2,30,3,9,2503,2,5,4,3,1,2,2,41,2,2,2,3,2,1,2
886,1,24,2,0,3123,1,2,4,2,1,1,2,27,3,2,1,3,2,1,2
144,4,36,2,3,2394,5,3,4,2,1,4,3,25,3,2,1,3,2,1,2
767,4,18,4,0,1530,1,3,3,3,1,2,2,32,1,2,2,3,2,1,2
999,1,30,2,2,6350,5,5,4,3,1,4,2,31,3,2,1,3,2,1,2
467,4,15,2,0,5324,3,5,1,2,1,4,4,35,3,3,1,3,2,1,2
315,4,15,2,1,1300,5,5,4,3,1,4,4,45,1,3,1,3,1,1,2
989,2,24,2,0,2718,1,3,3,2,1,4,2,20,3,1,1,2,2,2,2
922,1,24,2,0,1442,1,4,4,2,1,4,3,23,3,1,2,3,2,1,2
717,4,24,2,9,4591,4,3,2,3,1,3,2,54,3,2,3,4,2,2,2
458,2,24,3,2,2333,5,2,4,3,1,2,2,29,1,2,1,2,2,1,2
773,1,36,2,0,9271,1,4,2,3,1,1,3,24,3,2,1,3,2,2,2
204,1,21,2,0,3763,5,4,2,3,2,2,1,24,3,2,1,2,2,1,1
834,4,6,2,2,4611,1,2,1,2,1,4,2,32,3,2,1,3,2,1,2
832,4,36,3,9,7980,5,2,4,3,1,4,3,27,3,1,2,3,2,2,2
435,4,7,3,3,846,5,5,3,3,1,4,4,36,3,3,1,3,2,1,2
5,1,10,4,0,2241,1,2,1,3,1,3,1,48,3,1,2,2,1,1,1
769,1,15,2,4,1275,5,3,4,2,1,2,3,24,3,1,1,3,2,1,2
679,2,6,2,3,484,1,4,3,4,3,3,1,28,1,2,1,2,2,1,2
722,4,21,3,1,2993,1,3,3,3,1,2,1,28,2,2,2,2,2,1,2
215,3,10,2,0,3949,1,2,1,3,3,1,2,37,3,2,1,2,1,1,2
653,4,24,4,3,2424,5,5,4,3,1,4,2,53,3,2,2,3,2,1,2
150,3,12,1,3,409,4,3,3,2,1,3,1,42,3,1,2,3,2,1,2
687,2,36,1,4,3990,5,2,3,2,1,2,4,29,1,2,1,1,2,1,2
500,4,24,2,0,1249,1,2,4,4,1,2,1,28,3,2,1,3,2,1,2
332,4,6,4,3,1554,1,4,1,2,1,2,3,24,3,1,2,3,2,2,2
979,1,12,2,1,3386,1,5,3,3,1,4,4,35,3,3,1,3,2,2,2
817,1,12,2,0,759,1,4,4,3,1,2,1,26,3,2,1,3,2,1,2
620,4,24,2,1,9277,5,3,2,1,1,4,4,48,3,3,1,3,2,2,2
814,2,9,1,1,5129,1,5,2,2,1,4,4,74,1,3,1,4,1,2,2
516,2,24,3,9,6967,2,4,4,3,1,4,3,36,3,1,1,4,2,2,2
518,4,24,2,3,5943,5,2,1,2,1,1,3,44,3,2,2,3,2,2,2
940,4,48,4,0,10127,3,3,2,3,1,2,4,44,3,3,1,3,2,1,2
113,4,12,2,2,763,1,3,4,2,1,1,1,26,3,2,1,3,2,2,2
612,1,12,2,2,1620,1,3,2,2,2,3,2,30,3,2,1,3,2,1,2
37,4,12,4,3,1934,1,5,2,3,1,2,4,26,3,2,2,3,2,1,2
894,2,24,3,2,2064,1,1,3,2,1,2,2,34,3,2,1,4,2,2,2
895,2,18,2,1,12976,1,1,3,2,1,4,4,38,3,3,1,4,2,2,2
992,1,18,2,1,7511,5,5,1,3,1,4,2,51,3,3,1,3,1,2,2
158,2,48,1,9,6416,1,5,4,2,1,3,4,59,3,1,1,3,2,1,2
154,2,12,2,3,1158,3,3,3,1,1,1,3,26,3,2,1,3,2,2,2
40,4,12,4,5,996,5,4,4,2,1,4,1,23,3,2,2,3,2,1,2
585,1,24,2,1,2910,1,4,2,3,1,1,4,34,3,3,1,4,2,2,2
805,1,24,2,0,1207,1,2,4,2,1,4,2,24,3,1,1,3,2,1,2
592,1,36,4,2,6229,1,2,4,2,2,4,4,23,3,1,2,2,2,2,2
964,2,15,2,3,802,1,5,4,3,1,3,3,37,3,2,1,3,1,1,2
266,2,9,2,3,2118,1,3,2,3,1,2,1,37,3,2,1,2,1,1,2
406,4,15,2,1,4657,1,3,3,3,1,2,3,30,3,2,1,3,2,2,2
294,4,15,3,2,960,4,4,3,2,1,2,2,30,3,2,2,3,2,1,2
604,1,36,2,2,2712,1,5,2,3,1,2,2,41,1,2,1,3,1,1,2
522,4,6,2,3,518,1,3,3,2,1,1,1,29,3,2,1,3,2,1,2
18,2,36,4,3,2337,1,5,4,3,1,4,1,36,3,2,1,3,2,1,2
425,4,12,4,3,717,1,5,4,3,1,4,1,52,3,2,3,3,2,1,2
527,2,12,2,3,2930,1,4,2,2,1,1,1,27,3,2,1,3,2,1,2
308,1,21,2,3,2606,1,2,4,2,1,4,2,28,3,1,1,4,2,2,2
622,1,12,4,1,1526,1,5,4,3,1,4,4,66,3,3,2,4,2,1,2
794,3,30,3,9,1908,1,5,4,3,1,4,1,66,3,2,1,4,2,2,2
62,4,48,4,3,3578,5,5,4,3,1,1,1,47,3,2,1,3,2,2,2
79,4,15,2,3,1979,5,5,4,3,1,2,3,35,3,2,1,3,2,1,2
680,2,10,1,3,1048,1,3,4,3,1,4,1,23,2,2,1,2,2,1,2
193,4,24,2,0,2255,5,2,4,3,1,1,2,54,3,2,1,3,2,1,2
750,2,36,3,0,2862,2,5,4,3,1,3,4,30,3,3,1,3,2,1,2
181,4,18,4,0,1055,1,2,4,2,1,1,2,30,3,2,2,3,2,1,2
535,2,24,2,3,1967,1,5,4,2,1,4,3,20,3,2,1,3,2,2,2
484,4,12,4,2,1592,4,4,3,2,1,2,2,35,3,2,1,3,2,1,2
200,4,30,2,3,2333,3,5,4,3,1,2,3,30,1,2,1,4,2,1,2
364,4,12,2,3,2279,5,3,4,3,1,4,4,37,3,3,1,3,2,2,2
991,2,24,2,1,12579,1,5,4,2,1,2,4,44,3,3,1,4,2,2,2
462,4,15,2,1,3812,2,2,1,2,1,4,3,23,3,2,1,3,2,2,2
356,1,24,2,1,2924,1,3,3,3,3,4,4,63,1,2,1,3,1,2,2
2,2,12,2,9,841,2,4,2,2,1,4,1,23,3,1,1,2,2,1,2
478,4,12,4,6,2748,1,5,2,2,1,4,4,57,1,3,3,2,2,1,2
695,4,60,3,3,15653,1,4,2,3,1,4,3,21,3,2,2,3,2,2,2
253,4,36,2,3,3595,1,5,4,3,1,2,3,28,3,2,1,3,2,1,2
667,2,13,4,3,882,1,2,4,3,3,4,1,23,3,2,2,3,2,1,2
85,1,12,2,0,3651,4,3,1,3,1,3,2,31,3,2,1,3,1,1,2
969,1,21,1,0,1647,5,3,4,3,1,2,2,40,1,2,2,2,1,1,2
75,2,9,2,2,2030,5,4,2,3,1,1,3,24,3,2,1,3,2,2,2
786,2,6,1,0,931,2,2,1,2,1,1,2,32,2,2,1,2,2,1,2
658,2,7,2,3,2576,1,3,2,3,3,2,1,35,3,2,1,3,2,1,1
465,3,12,2,2,1424,5,5,3,2,1,4,1,55,3,2,1,4,2,2,2
920,1,24,1,2,3552,1,4,3,3,1,4,3,27,1,2,1,3,2,1,2
38,4,18,2,1,3378,5,3,2,3,1,1,2,31,3,2,1,3,2,2,2
944,1,12,2,3,709,1,5,4,3,1,4,1,57,3,2,1,2,2,1,2
725,2,18,2,1,2779,1,3,1,4,1,3,3,21,3,1,1,3,2,2,2
436,4,15,4,6,1532,2,3,4,2,1,3,3,31,3,2,1,3,2,1,2
140,4,36,2,3,3835,5,5,2,2,1,4,1,45,3,2,1,2,2,2,2
818,2,8,2,2,1237,1,3,3,2,1,4,1,24,3,2,1,3,2,1,2
602,1,6,2,0,1374,5,1,4,2,1,3,2,75,3,2,1,4,2,2,2
745,4,6,2,2,1766,1,3,1,4,1,2,2,21,3,1,1,3,2,1,2
471,4,24,2,3,999,5,5,4,3,1,2,3,25,3,2,2,3,2,1,2
342,4,18,4,1,3229,5,1,2,3,1,4,4,38,3,2,1,4,2,2,2
416,4,11,4,3,1154,2,1,4,2,1,4,1,57,3,2,3,2,2,1,2
711,1,42,4,5,3394,1,1,4,3,2,4,3,65,3,2,2,1,2,1,2
557,3,12,2,2,1474,1,2,4,2,1,1,2,33,1,2,1,4,2,2,2
50,4,12,2,0,640,1,3,4,1,1,2,1,49,3,2,1,2,2,1,2
162,4,24,2,2,3972,1,4,2,2,1,4,2,25,3,1,1,3,2,2,2
765,4,9,2,3,1478,1,4,4,3,1,2,3,22,3,2,1,3,2,1,2
856,1,24,1,2,3349,3,2,4,3,1,4,4,30,3,3,1,3,1,2,2
867,2,36,2,1,9398,1,2,1,4,1,4,3,28,3,1,1,4,2,2,2
524,2,12,4,1,1860,1,1,4,3,1,2,3,34,3,2,2,4,2,2,2
443,4,15,2,3,1386,5,3,4,4,1,2,1,40,3,1,1,3,2,2,2
172,3,12,2,3,1297,1,3,3,4,1,4,1,23,3,1,1,3,2,1,2
956,2,21,2,9,2767,2,5,4,1,1,2,3,61,3,1,2,2,2,1,2
330,4,24,4,6,1927,5,3,3,2,1,2,3,33,3,2,2,3,2,2,2
352,4,48,4,9,7629,5,5,4,1,1,2,3,46,1,2,2,4,1,1,2
857,1,36,2,3,2302,1,3,4,1,1,4,3,31,3,1,1,3,2,1,2
766,2,39,4,3,4933,1,4,2,3,3,2,1,25,3,2,2,3,2,1,2
39,4,24,4,1,3868,1,5,4,2,1,2,3,41,3,1,2,4,2,2,2
852,2,24,4,9,1935,1,5,4,1,1,4,1,31,3,2,2,3,2,2,2
875,2,30,4,0,4249,1,1,4,4,1,2,3,28,3,2,2,4,2,1,2
156,1,12,2,3,1498,1,3,4,2,1,1,3,23,1,2,1,3,2,1,2
222,4,24,3,1,4679,1,4,3,3,1,3,3,35,3,2,2,2,2,2,2
641,3,42,0,9,6289,1,2,2,1,1,1,2,33,3,2,2,3,2,1,2
210,3,4,2,0,1494,5,2,1,3,1,2,1,29,3,2,1,2,1,1,1
746,2,24,2,1,2760,5,5,4,3,1,4,4,36,1,3,1,3,2,2,2
960,4,18,2,0,6761,5,3,2,3,1,4,3,68,2,1,2,3,2,1,2
700,1,36,2,1,8335,5,5,3,3,1,4,4,47,3,3,1,3,2,1,2
167,4,24,4,9,4526,1,3,3,3,1,2,1,74,3,2,1,4,2,2,2
998,2,12,2,3,6468,5,1,2,3,1,1,4,52,3,2,1,4,2,2,2
984,1,48,2,3,6999,1,4,1,4,3,1,1,34,3,2,2,3,2,2,2
491,4,12,4,2,3331,1,5,2,3,1,4,2,42,2,2,1,3,2,1,2
10,1,11,4,0,3905,1,3,2,3,1,2,1,36,3,1,2,3,1,1,2
105,4,24,2,0,1393,1,3,2,3,3,2,1,31,3,2,1,3,2,2,2
68,2,12,2,3,1567,1,3,1,2,1,1,3,22,3,2,1,3,2,2,2
479,2,18,2,5,3872,1,1,2,2,1,4,3,67,3,2,1,3,2,2,2
399,2,12,2,0,6078,1,4,2,3,1,2,3,32,3,2,1,3,2,1,2
434,4,12,4,9,1264,5,5,4,3,1,4,4,57,3,1,1,2,2,1,2
258,1,10,2,3,2315,1,5,3,3,1,4,1,52,3,2,1,2,2,1,2
827,1,12,4,0,4843,1,5,3,3,2,4,2,43,3,1,2,3,2,2,2
884,2,15,2,0,2631,2,3,2,2,1,4,3,28,3,1,2,3,2,2,2
304,3,9,2,3,745,1,3,3,2,1,2,1,28,3,2,1,2,2,1,2
811,1,60,2,9,7297,1,5,4,3,2,4,4,36,3,1,1,3,2,1,2
938,2,24,2,0,1246,1,2,4,3,1,2,1,23,1,2,1,2,2,1,2
924,1,21,3,6,3414,1,2,2,3,1,1,2,26,2,2,2,3,2,1,2
526,1,12,2,3,701,1,3,4,4,1,2,1,40,3,2,1,2,2,1,2
20,1,6,4,0,3676,1,3,1,3,1,3,1,37,3,1,3,3,1,1,2
905,1,18,4,2,2124,1,3,4,2,1,4,1,24,3,1,2,3,2,1,2
380,1,18,2,2,3650,1,2,1,2,1,4,3,22,3,1,1,3,2,1,2
420,4,12,2,3,776,1,3,4,4,1,2,1,28,3,2,1,3,2,1,2
285,4,6,2,0,672,1,1,1,2,1,4,1,54,3,2,1,1,2,2,2
71,4,30,2,3,1867,5,5,4,3,1,4,3,58,3,2,1,3,2,2,2
49,1,24,4,9,1382,2,4,4,3,1,1,1,26,3,2,2,3,2,2,2
179,4,48,3,3,12749,3,4,4,3,1,1,3,37,3,2,1,4,2,2,2
506,4,12,4,3,1240,5,5,4,2,1,2,1,38,3,2,2,3,2,2,2
929,2,48,0,9,14421,1,3,2,3,1,2,3,25,2,2,1,3,2,2,2
116,2,9,4,2,1919,1,4,4,3,1,3,3,35,3,1,1,3,2,2,2
293,2,6,3,9,1449,2,5,1,1,1,2,3,31,1,2,2,3,1,1,2
76,4,21,4,1,3275,1,5,1,3,1,4,3,36,3,2,1,4,2,2,2
48,4,24,2,0,1474,2,2,4,4,1,3,1,33,3,2,1,3,2,2,2
503,4,24,4,5,2058,1,3,4,1,1,2,1,33,3,2,2,3,2,2,2
263,4,9,2,2,1313,1,5,1,3,1,4,3,20,3,2,1,3,2,1,2
808,1,24,2,2,3345,1,5,4,3,1,2,2,39,3,1,1,4,2,2,2
863,4,18,4,0,2775,1,4,2,3,1,2,2,31,1,2,2,3,2,1,2
748,2,9,2,6,1199,1,4,4,2,1,4,2,67,3,2,2,4,2,2,2
64,1,12,3,0,1344,1,3,4,3,1,2,1,43,3,2,2,2,1,1,2
798,1,24,2,0,915,5,5,4,2,1,2,3,29,1,2,1,3,2,1,2
52,4,9,4,0,1224,1,3,3,3,1,1,1,30,3,2,2,3,2,1,2
440,4,21,4,2,2288,1,2,4,2,1,4,2,23,3,2,1,3,2,2,2
124,4,15,2,3,1213,3,5,4,3,1,3,2,47,2,2,1,3,2,2,2
650,2,24,2,2,4351,5,3,1,2,1,4,2,48,3,2,1,2,2,2,2
409,4,42,2,3,7166,5,4,2,4,1,4,2,29,3,1,1,3,2,2,2
752,2,9,4,6,1136,4,5,4,3,1,3,4,32,3,3,2,3,1,1,2
952,2,21,2,9,1188,1,5,2,2,1,4,2,39,3,2,1,3,1,1,2
477,4,24,2,3,3105,5,2,4,3,1,2,3,25,3,2,2,3,2,1,2
118,4,9,4,6,936,3,5,4,3,1,2,3,52,3,2,2,3,2,2,2
12,1,6,4,3,1957,1,4,1,2,1,4,3,31,3,2,1,3,2,1,2
157,4,30,4,3,5954,1,4,3,3,2,2,3,38,3,2,1,3,2,1,2
337,1,10,4,0,1038,1,4,4,3,2,3,2,49,3,2,2,3,2,2,2
127,4,6,2,2,2978,3,3,1,3,1,2,3,32,3,2,1,3,2,2,2
46,4,24,2,9,1258,1,4,4,3,1,1,1,25,3,2,1,3,2,2,2
235,1,24,2,3,1603,1,5,4,2,1,4,3,55,3,2,1,3,2,1,2
538,4,7,4,3,730,5,5,4,3,1,2,2,46,3,1,2,2,2,2,2
241,4,60,2,0,10366,1,5,2,3,1,4,2,42,3,2,1,4,2,2,2
590,1,12,2,2,1657,1,3,2,3,1,2,1,27,3,2,1,3,2,1,2
358,3,18,2,0,1961,1,5,3,2,1,2,3,23,3,2,1,4,2,1,2
959,2,24,2,3,3092,2,2,3,4,1,2,3,22,3,1,1,3,2,2,2
848,2,36,2,3,2671,2,3,4,2,2,4,4,50,3,3,1,3,2,1,2
792,1,24,1,2,6872,1,2,2,1,1,1,2,55,1,2,1,3,2,2,2
325,4,24,4,0,1287,4,5,4,2,1,4,1,37,3,2,2,3,2,2,2
899,4,10,2,0,1309,5,3,4,3,3,4,2,27,3,2,1,2,2,1,2
809,1,6,1,6,1198,1,5,4,2,1,4,4,35,3,3,1,3,2,1,2
350,4,10,4,2,2069,5,3,2,4,1,1,3,26,3,2,2,3,2,1,1
363,4,9,2,2,1388,1,3,4,2,1,2,1,26,3,1,1,3,2,1,2
17,2,18,2,3,3213,3,2,1,4,1,3,1,25,3,1,1,3,2,1,2
186,4,12,2,0,2390,5,5,4,3,1,3,3,50,3,2,1,3,2,2,2
402,1,6,2,1,1352,3,1,1,2,1,2,2,23,3,1,1,1,2,2,2
338,4,10,2,1,2848,2,3,1,3,2,2,1,32,3,2,1,3,1,1,2
206,1,12,2,3,1107,1,3,2,3,1,2,1,20,3,1,1,4,1,2,2
963,1,24,2,2,3234,1,2,4,2,1,4,1,23,3,1,1,2,2,2,2
345,4,10,2,3,1924,1,3,1,3,1,4,2,38,3,2,1,3,2,2,1
313,2,24,2,0,1201,1,2,4,3,1,1,2,26,3,2,1,3,2,1,2
242,4,18,2,9,1568,2,3,3,2,1,4,2,24,3,1,1,2,2,1,2
913,1,36,1,2,2746,1,5,4,3,1,4,3,31,1,2,1,3,2,1,2
170,3,36,2,3,5848,1,3,4,3,1,1,3,24,3,2,1,3,2,1,2
187,4,24,2,3,3430,3,5,3,3,1,2,3,31,3,2,1,3,1,2,2
934,1,16,4,0,2625,1,5,2,3,3,4,2,43,3,1,1,3,2,2,1
133,4,18,2,3,1453,1,2,3,2,1,1,1,26,3,2,1,3,2,1,2
301,3,24,2,3,5152,1,4,4,3,1,2,3,25,1,2,1,3,2,1,2
731,4,60,2,0,6527,5,3,4,3,1,4,4,34,3,3,1,3,1,2,2
670,2,13,2,3,2101,1,2,2,2,3,4,2,23,3,2,1,2,2,1,2
318,4,15,4,3,1360,1,3,4,3,1,2,2,31,3,2,2,3,2,1,2
78,1,21,4,0,1602,1,5,4,4,1,3,3,30,3,2,2,3,2,2,2
521,4,36,2,2,10974,1,1,4,2,1,2,3,26,3,2,2,4,2,2,2
346,4,10,2,6,727,3,5,4,3,1,4,4,46,3,3,1,3,2,2,2
198,4,12,2,3,2141,2,4,3,3,1,1,4,35,3,2,1,3,2,1,2
865,3,15,4,3,1271,5,3,3,3,1,4,4,39,3,3,2,3,2,2,2
548,2,12,2,0,1007,4,3,4,4,1,1,1,22,3,2,1,3,2,1,2
915,1,18,2,2,2462,1,3,2,3,1,2,3,22,3,2,1,3,2,1,2
588,1,18,2,3,3509,1,4,4,2,3,1,1,25,3,2,1,3,2,1,2
447,4,12,2,3,886,5,3,4,2,1,2,3,21,3,2,1,3,2,1,2
21,2,12,4,0,3124,1,2,1,3,1,3,1,49,1,2,2,2,1,1,2
724,1,24,2,2,4020,1,3,2,3,1,2,3,27,2,2,1,3,2,1,2
718,2,18,2,2,1924,5,2,4,2,1,3,1,27,3,1,1,3,2,1,2
250,2,18,3,0,2899,5,5,4,3,1,4,3,43,3,2,1,3,1,1,2
243,4,18,4,3,629,3,5,4,3,1,3,2,32,1,2,2,4,2,2,2
571,4,36,2,6,9055,5,3,2,3,1,4,4,35,3,3,1,2,1,2,2
35,1,6,4,0,860,1,5,1,2,1,4,4,39,3,2,2,3,2,2,2
81,4,36,4,3,3342,5,5,4,3,1,2,3,51,3,2,1,3,2,2,2
159,2,12,4,2,3617,1,5,1,3,1,4,3,28,3,1,3,3,2,2,2
333,4,22,2,0,1283,5,4,4,2,1,4,2,25,3,1,1,3,2,1,2
837,2,24,2,2,4057,1,4,3,1,1,3,3,43,3,2,1,3,2,2,2
474,3,36,2,3,4473,1,5,4,3,1,2,3,31,3,2,1,3,2,1,2
671,2,18,2,3,1301,1,5,4,4,3,2,1,32,3,2,1,2,2,1,2
109,4,12,4,6,2012,5,4,4,2,1,2,3,61,3,2,1,3,2,1,2
661,2,12,2,3,1103,1,4,4,3,3,3,1,29,3,2,2,3,2,1,2
379,4,30,4,3,6742,5,4,2,3,1,3,2,36,3,2,2,3,2,1,2
625,1,6,4,2,1872,1,1,4,3,1,4,4,36,3,3,3,4,2,2,2
603,1,12,2,2,1289,1,3,4,3,3,1,2,21,3,2,1,2,2,1,2
92,2,30,0,9,4221,1,3,2,2,1,1,3,28,3,2,2,3,2,1,2
451,1,20,2,2,2212,5,4,4,3,1,4,3,39,3,2,1,3,2,2,2
652,2,12,2,8,754,5,5,4,3,1,4,2,38,3,2,2,3,2,1,2
822,1,24,2,3,1938,1,2,4,1,1,3,2,32,3,2,1,3,2,1,2
855,1,48,2,0,3931,1,4,4,3,1,4,4,46,3,3,1,3,1,1,2
390,4,15,2,1,3029,1,4,2,3,1,2,3,33,3,2,1,3,2,1,2
577,1,12,2,6,684,1,3,4,3,1,4,3,40,3,1,1,2,1,1,2
985,4,12,4,9,2292,1,1,4,3,1,2,3,42,2,2,2,4,2,2,2
422,2,16,4,0,1175,1,1,2,3,1,3,3,68,3,3,3,1,2,2,2
211,1,24,1,2,2828,3,3,4,3,1,4,1,22,2,2,1,3,2,2,2
171,1,12,2,0,1228,1,3,4,2,1,2,1,24,3,2,1,2,2,1,2
165,4,9,4,0,2134,1,3,4,3,1,4,3,48,3,2,3,3,2,2,2
238,4,4,2,2,601,1,2,1,2,1,3,1,23,3,1,1,2,1,1,2
188,2,36,2,6,2273,1,4,3,3,1,1,3,32,3,2,2,3,1,1,2
685,4,24,4,2,1585,1,4,4,3,1,3,2,40,3,2,2,3,2,1,2
803,2,18,2,0,1042,5,3,4,2,1,2,2,33,3,2,1,3,2,1,2
