,gender,GradeID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays
344,1,2,4,0,1,14,97,15,14,0,1,0
75,0,7,9,0,1,50,90,29,60,1,1,0
479,1,8,6,1,0,35,14,23,62,0,0,1
427,0,8,2,1,1,81,82,69,13,1,1,1
138,1,7,9,0,1,100,80,95,90,0,0,0
328,1,2,4,0,1,80,77,63,83,1,1,0
343,0,2,4,1,1,35,92,29,33,0,0,0
356,0,2,4,0,0,32,88,32,25,1,1,0
433,0,8,5,1,0,87,79,73,98,0,0,0
162,1,2,4,1,1,70,82,3,73,0,0,0
432,0,8,5,0,0,95,87,62,81,0,0,0
445,0,8,2,1,1,72,76,66,40,1,1,1
164,0,2,4,1,1,55,72,83,14,1,1,1
60,1,5,3,0,1,21,10,28,20,0,1,1
371,0,2,0,1,0,35,2,29,23,0,0,0
449,0,8,6,1,1,81,84,77,85,1,1,0
302,1,4,10,0,1,11,20,21,23,0,0,0
161,0,7,10,1,1,72,80,58,66,0,0,0
386,0,2,0,0,1,15,90,21,97,1,1,0
285,0,6,3,1,0,41,39,35,39,1,0,1
315,1,4,10,1,1,72,84,89,89,1,1,0
297,1,4,10,1,1,72,74,82,89,0,1,0
476,1,8,5,0,0,50,77,14,28,0,0,0
323,0,2,4,1,0,30,10,20,5,0,0,1
69,0,7,7,0,0,39,40,11,33,0,0,0
410,1,7,1,0,1,70,89,12,21,0,1,0
465,1,8,2,1,1,89,96,45,92,1,1,0
464,1,8,2,0,1,85,99,42,90,1,1,0
298,0,4,10,0,0,18,17,26,34,0,1,1
389,0,2,0,1,1,5,0,1,8,0,1,1
447,0,8,5,1,1,71,84,67,80,1,1,0
204,0,8,0,1,0,29,10,12,24,0,0,1
290,1,4,10,0,0,49,36,32,44,0,0,1
431,0,8,5,1,0,80,89,23,68,0,0,0
311,0,4,10,1,0,42,34,29,39,0,1,1
434,0,8,2,0,1,85,87,72,10,1,1,1
426,0,8,2,0,1,80,80,62,11,1,1,1
284,0,6,3,0,0,40,38,32,36,0,0,1
270,1,6,3,0,1,90,84,52,30,0,1,0
402,0,7,1,0,0,76,81,80,86,0,1,0
273,0,6,3,1,0,22,20,6,26,0,0,0
442,0,8,6,0,1,69,77,76,75,1,1,1
425,1,8,5,1,1,84,77,79,68,1,1,0
450,1,8,2,0,0,15,97,22,10,1,1,0
282,1,6,3,0,1,95,94,72,80,0,1,0
440,0,8,5,0,1,89,87,86,15,1,1,0
271,1,6,3,1,1,92,81,32,36,0,1,0
379,0,2,0,1,0,12,22,59,83,1,0,1
354,0,2,4,0,1,30,98,42,21,1,1,0
347,1,2,4,1,1,23,82,20,30,0,1,0
403,0,7,1,1,0,65,89,64,82,0,1,0
446,0,8,5,0,1,77,82,74,79,1,1,0
475,1,8,2,1,0,5,4,5,8,0,0,1
332,1,2,4,0,1,10,90,30,21,0,1,0
345,1,2,4,0,1,13,82,20,30,0,1,0
267,0,6,3,1,0,11,70,32,29,1,1,1
353,1,2,4,1,1,25,89,21,13,1,1,0
466,1,8,5,0,1,80,82,64,58,1,1,0
468,1,8,2,0,0,15,9,14,80,0,0,1
291,1,4,10,1,0,42,24,12,24,0,0,1
316,0,2,4,0,1,60,92,83,23,1,1,0
438,0,8,2,0,1,80,82,76,19,1,1,0
366,0,2,0,0,0,10,18,71,38,1,1,1
330,0,2,4,0,0,40,7,50,41,0,1,1
361,0,2,0,1,0,10,98,41,38,1,1,1
286,1,6,3,0,1,51,79,85,89,1,1,0
236,0,7,10,1,0,52,10,13,6,0,0,1
149,1,7,9,1,1,100,75,50,70,1,0,0
387,0,2,0,1,1,20,77,31,88,1,1,0
327,0,2,4,1,0,30,10,20,5,0,0,1
407,0,7,1,1,1,3,8,19,3,0,0,1
303,1,4,10,1,1,12,44,25,39,0,0,0
